tissue,module_id,n_genes,age_correlation_rho,age_correlation_p,top_GO_terms_FDR005,top_KEGG_terms_FDR005
Adipose - Subcutaneous,106,4493,0.2042,1.1364503983002546e-07,Extracellular Matrix Organization (GO:0030198); Inflammatory Response (GO:0006954); Regulation Of Cell Migration (GO:0030334); Positive Regulation Of MAPK Cascade (GO:0043410); Positive Regulation Of Cell Motility (GO:2000147),Hematopoietic cell lineage; ECM-receptor interaction; Cytokine-cytokine receptor interaction; Staphylococcus aureus infection; Complement and coagulation cascades
Adipose - Visceral (Omentum),103,4380,0.2285,7.68182167464468e-08,Inflammatory Response (GO:0006954); Extracellular Matrix Organization (GO:0030198); Regulation Of Cell Migration (GO:0030334); Positive Regulation Of Cytokine Production (GO:0001819); Positive Regulation Of Cell Motility (GO:2000147),Hematopoietic cell lineage; Complement and coagulation cascades; Cytokine-cytokine receptor interaction; ECM-receptor interaction; Cell adhesion molecules
Adipose - Visceral (Omentum),82,104,0.133,0.0019333963266377242,B Cell Receptor Signaling Pathway (GO:0050853); Antigen Receptor-Mediated Signaling Pathway (GO:0050851); Glomerular Filtration (GO:0003094); Renal Filtration (GO:0097205); Retina Homeostasis (GO:0001895),None significant
Artery - Aorta,92,102,0.1766,0.00022513431186396964,None significant,None significant
Artery - Tibial,77,4471,0.2291,2.4260337861446124e-09,Extracellular Matrix Organization (GO:0030198); Inflammatory Response (GO:0006954); Positive Regulation Of Cell Motility (GO:2000147); Regulation Of Cell Migration (GO:0030334); Regulation Of Angiogenesis (GO:0045765),Leishmaniasis; Staphylococcus aureus infection; Cell adhesion molecules; Phagosome; AGE-RAGE signaling pathway in diabetic complications
Brain - Cerebellum,104,4689,0.2958,2.9662168311556053e-06,None significant,Protein digestion and absorption
Brain - Cortex,144,3806,0.2383,0.0001221295780157339,Chemical Synaptic Transmission (GO:0007268); Modulation Of Chemical Synaptic Transmission (GO:0050804); Anterograde Trans-Synaptic Signaling (GO:0098916); Potassium Ion Transport (GO:0006813); Neurotransmitter Secretion (GO:0007269),Glutamatergic synapse; Synaptic vesicle cycle; Circadian entrainment; Nicotine addiction; Oxytocin signaling pathway
Brain - Cortex,54,249,0.2021,0.0011770995328778664,Cellular Response To Cytokine Stimulus (GO:0071345); Response To Lipopolysaccharide (GO:0032496); Response To Cytokine (GO:0034097); Inflammatory Response (GO:0006954); Cellular Response To Tumor Necrosis Factor (GO:0071356),Cytokine-cytokine receptor interaction; TNF signaling pathway; Human T-cell leukemia virus 1 infection; NF-kappa B signaling pathway; Epstein-Barr virus infection
Brain - Cortex,114,88,0.1426,0.022772000739256705,Vascular Transport (GO:0010232); Transport Across Blood-Brain Barrier (GO:0150104); L-glutamate Transmembrane Transport (GO:0015813); L-glutamate Import (GO:0051938); Dicarboxylic Acid Transport (GO:0006835),None significant
Brain - Cortex,109,67,0.2646,1.8596613226181527e-05,None significant,None significant
Colon - Sigmoid,64,85,0.1713,0.0008924543678144251,Oxygen Transport (GO:0015671); Carbon Dioxide Transport (GO:0015670); Gas Transport (GO:0015669); Hydrogen Peroxide Catabolic Process (GO:0042744); One-Carbon Compound Transport (GO:0019755),African trypanosomiasis; Malaria
Colon - Transverse,84,4592,0.2169,1.0334765291543058e-05,Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156); Regulation Of Cell Migration (GO:0030334); Extracellular Matrix Organization (GO:0030198); Sprouting Angiogenesis (GO:0002040); Positive Regulation Of Cell Differentiation (GO:0045597),ECM-receptor interaction; Focal adhesion; Protein digestion and absorption; Malaria; PPAR signaling pathway
Colon - Transverse,56,104,0.1184,0.017041616796361306,T Cell Activation (GO:0042110); Antigen Receptor-Mediated Signaling Pathway (GO:0050851); T Cell Receptor Signaling Pathway (GO:0050852); Alpha-Beta T Cell Activation (GO:0046631); Positive Regulation Of Cytokine Production (GO:0001819),Primary immunodeficiency; T cell receptor signaling pathway; B cell receptor signaling pathway; Th1 and Th2 cell differentiation; Hematopoietic cell lineage
Heart - Left Ventricle,60,4708,0.1357,0.004707754963798435,Cytoplasmic Translation (GO:0002181); Translation (GO:0006412); Macromolecule Biosynthetic Process (GO:0009059); Peptide Biosynthetic Process (GO:0043043); Gene Expression (GO:0010467),Ribosome; Prion disease; Parkinson disease; Protein processing in endoplasmic reticulum; Diabetic cardiomyopathy
Lung,48,82,0.0999,0.016267141777617095,None significant,None significant
Muscle - Skeletal,134,4419,0.0917,0.009300057447679512,Myofibril Assembly (GO:0030239); Regulation Of Cell Migration (GO:0030334); Regulation Of miRNA Transcription (GO:1902893); Positive Regulation Of miRNA Transcription (GO:1902895); Positive Regulation Of miRNA Metabolic Process (GO:2000630),Focal adhesion; AGE-RAGE signaling pathway in diabetic complications; Pathways in cancer; Proteoglycans in cancer; Human T-cell leukemia virus 1 infection
Muscle - Skeletal,119,50,0.2969,8.32710745158518e-18,None significant,ECM-receptor interaction; Small cell lung cancer; AGE-RAGE signaling pathway in diabetic complications; Amoebiasis; Protein digestion and absorption
Nerve - Tibial,54,58,0.1029,0.010450961744435475,B Cell Receptor Signaling Pathway (GO:0050853); Antigen Receptor-Mediated Signaling Pathway (GO:0050851); Glomerular Filtration (GO:0003094); Renal Filtration (GO:0097205); Retina Homeostasis (GO:0001895),None significant
Skin - Sun Exposed (Lower leg),70,4689,0.1177,0.00180678231851406,Extracellular Matrix Organization (GO:0030198); Epidermis Development (GO:0008544); External Encapsulating Structure Organization (GO:0045229); Extracellular Structure Organization (GO:0043062); Regulation Of Angiogenesis (GO:0045765),Staphylococcus aureus infection; Protein digestion and absorption; Complement and coagulation cascades; ECM-receptor interaction; Malaria
Small Intestine - Terminal Ileum,34,1722,0.227,0.0017813199224085553,Antigen Receptor-Mediated Signaling Pathway (GO:0050851); Regulation Of T Cell Activation (GO:0050863); B Cell Receptor Signaling Pathway (GO:0050853); T Cell Activation (GO:0042110); Positive Regulation Of T Cell Activation (GO:0050870),Intestinal immune network for IgA production; Chemokine signaling pathway; Th17 cell differentiation; Th1 and Th2 cell differentiation; Hematopoietic cell lineage
Small Intestine - Terminal Ileum,144,188,0.1778,0.014884231924294644,None significant,None significant
Small Intestine - Terminal Ileum,26,75,0.2548,0.00043173517300245013,Mitotic Sister Chromatid Segregation (GO:0000070); Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850); Spindle Assembly Checkpoint Signaling (GO:0071173); Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094); Mitotic Spindle Checkpoint Signaling (GO:0071174),Cell cycle; Oocyte meiosis; Progesterone-mediated oocyte maturation; Cellular senescence; p53 signaling pathway
Spleen,126,4517,0.1372,0.033275155344925006,Inflammatory Response (GO:0006954); Positive Regulation Of Cell Motility (GO:2000147); Neutrophil Chemotaxis (GO:0030593); Granulocyte Chemotaxis (GO:0071621); Neutrophil Migration (GO:1990266),Viral protein interaction with cytokine and cytokine receptor; Hematopoietic cell lineage; Cytokine-cytokine receptor interaction; Complement and coagulation cascades; Malaria
Whole Blood,132,2884,0.1304,0.00032820330534830415,Pattern Recognition Receptor Signaling Pathway (GO:0002221); Regulation Of Defense Response (GO:0031347); Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122); Protein Modification Process (GO:0036211); Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),Osteoclast differentiation; B cell receptor signaling pathway; Salmonella infection; Yersinia infection; Lipid and atherosclerosis
