rank,drug_name,CRS_global,optimal_tissue,approval_status,targets,indication,in_DrugAge
1,gliclazide,2.862490606806249,Thyroid,approved,ABCC8;KCNJ11,Type 2 diabetes,False
2,dexamethasone,2.631039605806301,Heart - Atrial Appendage,approved,NR3C1,Inflammation,False
3,pioglitazone,2.520994881218904,Heart - Atrial Appendage,approved,PPARG,Type 2 diabetes,False
4,atorvastatin,2.443745666996622,Heart - Atrial Appendage,approved,HMGCR,Hypercholesterolemia,False
5,digoxin,2.261968657141753,Heart - Atrial Appendage,approved,ATP1A1,Heart failure,False
6,dasatinib,2.142853309625863,Thyroid,approved,ABL1;SRC;KIT,Cancer,False
7,pravastatin,2.085648223282601,Spleen,approved,HMGCR,Hypercholesterolemia,True
8,captopril,2.0493525591921613,Skin - Not Sun Exposed (Suprapubic),approved,ACE,Hypertension,True
9,ramipril,2.02418201971773,Spleen,approved,ACE,Hypertension,False
10,ibuprofen,1.9323113172975013,Pituitary,approved,PTGS1;PTGS2,"Pain, inflammation",True
11,aspirin,1.8410563960831396,Pituitary,approved,PTGS1;PTGS2,"Pain, inflammation",True
12,pentoxifylline,1.7904116402648504,Thyroid,approved,PDE4B;TNF,Peripheral vascular disease,False
13,metformin,1.7201996756872806,Thyroid,approved,PRKAA1;PRKAA2,Type 2 diabetes,True
14,acarbose,1.7180782724612185,Heart - Atrial Appendage,approved,GAA;MGAM,Type 2 diabetes,True
15,losartan,1.592315293659624,Small Intestine - Terminal Ileum,approved,AGTR1,Hypertension,True
16,ruxolitinib,1.5009946541710446,Pancreas,approved,JAK1;JAK2,Myelofibrosis,False
17,hydrochlorothiazide,1.4844624526289738,Pituitary,approved,SLC12A3,Hypertension,False
18,troglitazone,1.4175073775485134,Pancreas,approved,PPARG,Type 2 diabetes,False
19,rosuvastatin,1.360664976443811,Pancreas,approved,HMGCR,Hypercholesterolemia,False
20,imatinib,1.3063979011385674,Adipose - Visceral (Omentum),approved,ABL1;KIT;PDGFRA,Cancer,False
