tissue,n_aging_genes,genage_overlap_count,fisher_p_raw,fisher_fdr,gsea_nes,gsea_fdr
Adipose - Subcutaneous,5808,0,1.0,1.0,0.734,0.982
Adipose - Visceral (Omentum),10148,0,1.0,1.0,0.7155,0.999
Adrenal Gland,381,0,1.0,1.0,0.9107,0.8198
Artery - Aorta,6048,0,1.0,1.0,-1.583,0.0
Artery - Coronary,76,0,1.0,1.0,-1.2596,0.0064
Artery - Tibial,8321,0,1.0,1.0,-1.0463,0.3
Brain - Cerebellum,10321,0,1.0,1.0,-1.0747,0.238
Brain - Cortex,6516,0,1.0,1.0,-0.9308,0.707
Colon - Sigmoid,2474,0,1.0,1.0,-1.1974,0.0
Colon - Transverse,5935,0,1.0,1.0,1.1617,0.1551
Esophagus - Mucosa,2880,0,1.0,1.0,0.733,0.971
Heart - Atrial Appendage,88,0,1.0,1.0,1.1814,0.06
Heart - Left Ventricle,1395,0,1.0,1.0,-1.0046,0.475
Liver,7,0,1.0,1.0,-1.6476,0.0
Lung,2159,0,1.0,1.0,1.1113,0.1875
Muscle - Skeletal,5862,0,1.0,1.0,1.0737,0.24
Nerve - Tibial,4379,0,1.0,1.0,1.1232,0.1981
Pancreas,24,0,1.0,1.0,0.8285,0.886
Pituitary,334,0,1.0,1.0,-1.0074,0.452
Skin - Not Sun Exposed (Suprapubic),2364,0,1.0,1.0,1.0672,0.286
Skin - Sun Exposed (Lower leg),2775,0,1.0,1.0,1.0904,0.205
Small Intestine - Terminal Ileum,4800,0,1.0,1.0,-1.0064,0.469
Spleen,185,0,1.0,1.0,0.8026,0.92
Stomach,839,0,1.0,1.0,-1.1862,0.032
Thyroid,1134,0,1.0,1.0,-1.3691,0.0076
Whole Blood,4734,0,1.0,1.0,-0.6418,0.998
